ID,City,Latitude,Longitude ,Status
1,Kasarwadi,18.606088,73.822791,Safe
2,Dapodi,18.585293,73.833217,Safe
3,University_Road,18.555553,73.818436,Unsafe
4,Khadki,18.554131,73.848334,Safe
5,Sancheti ,18.530749,73.854635,Safe
6,Pragati_Nagar,18.565459,73.831163,Unsafe
7,Khaire_Vasti,18.535204,73.838236,Unsafe
8,Bopodi,18.571487,73.837311,Safe
9,Hinjewadi,18.591276,73.738911,Safe
10,Bhumkar_Chowk,18.605672,73.752522,Safe
11,Sayaji_Hotel,18.599414,73.754641,Safe
12,Wakad,18.591904,73.756982,Safe
13,Madhuban_Hotel,18.590766,73.750325,Safe
14,Dmart_Hinjewadi,18.591111,73.744266,Safe
15,Durga_Hotel,18.604606,73.751354,Unsafe
16,Bhumkar_Vasti,18.603093,73.749822,Unsafe
17,Tukaram_Garden,18.599711,73.744724,Unsafe
18,Sai_Hospital,18.596486,73.741014,Unsafe
19,Ruby_Hospital,18.592833,73.733981,Safe
20,Phase3,18.582967,73.687399,Safe
21,Pall_Corporation,18.594232,73.728848,Safe
22,Wipro_Tech,18.596865,73.719043,Safe
23,Infosys_Pune,18.593652,73.708285,Safe
24,Eclerx_Service,18.584864,73.696256,Safe
25,Jaymalhar_Hotel,18.585643,73.73161,Unsafe
26,Joshi_wadewale,18.581012,73.72263,Unsafe
27,Ashwini_Hospital,18.576501,73.711563,Unsafe
29,Msrtc_Busstop,18.580001,73.687859,Unsafe
30,Kaspate_Chowk,18.589091,73.777049,Safe
31,Aundh,18.560168,73.803132,Safe
32,Vishal_Nagar,18.587479,73.788701,Unsafe
33,Military_Station,18.582834,73.796942,Unsafe
34,Westend_Mall,18.560499,73.807841,Unsafe
35,Distric_Hospital,18.576308,73.804031,Unsafe
36,Akash_Towers,18.585628,73.781511,Safe
37,Pimple_Nilakh,18.578456,73.786305,Safe
38,Adarsh_Nagar,18.568663,73.790685,Safe
39,Hotel_Haveli,18.561801,73.792623,Safe
40,Ambegaon,18.445977,73.850574,Safe
41,Narhe,18.446533,73.826363,Safe
42,Katraj_Post_Office,18.450283,73.850135,Safe
43,Sai_Nagar,18.451721,73.846951,Safe
44,Ram_Mandir,18.452596,73.837393,Safe
45,Sun_City,18.449458,73.834839,Safe
46,Jay_Bhavani_Chowk,18.444574,73.848473,Unsafe
47,Hotel_Purandar,18.443087,73.847765,Unsafe
48,Jambhulwadi_Lake,18.439851,73.845312,Unsafe
49,Engineers_Chai,18.441405,73.840079,Unsafe
50,Katraj,18.453061,73.864896,Safe
51,Shaniwarda_Wada,18.519471,73.855302,Safe
52,Ahilya_Devi_Chowk,18.468397,73.857689,Safe
53,City_Pride,18.489291,73.857631,Safe
54,Swargate_Bus_Depot,18.500252,73.858551,Safe
55,Dagdusheth_Mandir,18.516889,73.856236,Safe
56,Rajiv_Gandhi_Nagar,18.461043,73.869025,Unsafe
57,Aai_Mata_Chowk,18.480836,73.872357,Unsafe
58,Gultekdi_Chowk,18.493024,73.869224,Unsafe
59,Ganesh_Road,18.518741,73.859365,Unsafe
60,Bavdhan,18.513556,73.769551,Safe
61,FC_Road,18.517383,73.841531,Safe
62,Chandani_Chowk,18.507249,73.783785,Safe
63,Kothrud,18.507351,73.807838,Safe
64,Erandwane,18.508777,73.831395,Safe
65,Deccan_Corner,18.514481,73.842253,Safe
66,Nobel_Hospital,18.526026,73.781843,Unsafe
67,DRDO_Office,18.526381,73.789115,Unsafe
68,Marido_Colony,18.540145,73.815854,Unsafe
69,Bahiratwadi,18.535821,73.830171,Unsafe
70,Lohegaon,18.594382,73.927211,safe
71,Pune_Airport,18.578875,73.903873,safe
72,Jailroad_policestation,18.565465,73.894669,safe
73,Westin_busstop,18.539467,73.903773,safe
74,Jahangir_nagar,18.520899,73.918783,safe
75,Hadapsar,18.509997,73.926092,safe
76,Vitthalnagar,18.555294,73.955599,unsafe
77,Kharadigaon,18.548351,73.945074,unsafe
78,Mundhwa,18.531879,73.932423,unsafe
79,Amanora_mall,18.517928,73.932774,unsafe
80,Dhanori,18.597765,73.899355,safe
81,Lonikand,18.623794,74.030847,safe
82,Lohegaon,18.594382,73.927211,safe
83,Dattamandir,18.592101,73.945386,safe
84,Lifeline_hospital,18.583652,73.990427,safe
85,Lonikand_policestation,18.619397,74.023141,safe
86,Pragati_garden,18.580546,73.893488,safe
87,Kharadi_bypass_policestation,18.572234,73.955274,safe
88,vitthalwadi,18.602089,74.010629,safe
89,Alandi,18.676045,73.893922,safe
90,koregaon_park,18.539588,73.896361,safe
91,kale_colony,18.667707,73.889959,safe
92,Rahane_hospital,18.647201,73.880918,safe
93,Dighi_policestation,18.642859,73.879188,safe
94,Yerawad,18.554074,73.896702,safe
95,Bhosari,18.624279,73.854954,unsafe
96,Dapodi,18.588436,73.832292,unsafe
97,khadaki,18.563534,73.853078,unsafe
98,Rajiv_gadhi_hospital,18.545131,73.883529,unsafe
99,Nigdi_Flyover,18.659341,73.777503,unsafe
100,Tukaram_Gardern,18.651606,73.770827,unsafe
101,Akurdi_Chowk,18.650412,73.785332,safe
102,Milk_Made,18.646552,73.792023,safe
103,Mahlsakant_Chowk,18.649331,73.776098,safe
104,Hanuman_Chowk,18.649888,73.781241,safe
105,Star_Bazar,18.648788,73.786722,safe
106,Jijanagar,18.645181,73.778147,unsafe
107,Ganga_Nagar,18.642762,73.790125,unsafe
108,Bhakti_Shakti_Gardern,18.664847,73.770793,safe
109,Durga_Tekdi,18.672317,73.765104,safe
110,Radha_Krishna_Mandir,18.677504,73.749065,safe
111,Chincholi_Road,18.683671,73.745458,safe
112,Pandharpur_Road,18.678576,73.738581,safe
113,Datta_Mandir,18.681086,73.729713,safe
114,Ulhas_Road,18.674399,73.718971,safe
115,Garrison_Engineer,18.686631,73.740224,unsafe
116,Dehuroad_Police_Station,18.686666,73.720983,safe
117,KM_Park,18.678744,73.724678,unsafe
118,Bhairavnath_Mandir,18.674161,73.718191,unsafe
