id,Source,Intermediate1,Intermediate2,Intermediate3,Intermediate4,Destination,Status
1,Kasarwadi,Dapodi,Bopodi,Khadki,Sancheti,Shivaji_Nagar,safe
2,Kasarwadi,Dapodi,Pragati_Nagar,University_Road,Khaire_Vasti,Shivaji_Nagar,unsafe
3,Shivaji Nagar,Khaire_Vasti,University_Road,Pragati_Nagar,Dapodi,Kasarwadi,unsafe
4,Shivaji Nagar,Sancheti,Khadki,Bopodi,Dapodi,Kasarwadi,safe
5,Bhumkar_Chowk,Sayaji_Hotel,Wakad,Madhuban_Hotel,Dmart_Hinjewadi,Hinjewadi,safe
6,Bhumkar_Chowk,Durga_Hotel,Bhumkar_Vasti,Tukaram_Garden,Sai_Hospital,Hinjewadi,unsafe
7,Hinjewadi,Dmart_Hinjewadi,Madhuban_Hotel,Wakad,Sayaji_Hotel,Bhumkar_Chowk,safe
8,Hinjewadi,Sai_Hospital,Tukaram_Garden,Bhumkar_Vasti,Durga_Hotel,Bhumkar_Chowk,unsafe
9,Ruby_Hospital,Pall_Corporation,Wipro_Tech,Infosys_Pune,Eclerx_Service,Phase3,safe
10,Ruby_Hospital,Jaymalhar_Hotel,Joshi_wadewale,Ashwini_Hospital,Msrtc_Busstop,Phase3,unsafe
11,Phase3,Eclerx_Service,Infosys_Pune,Wipro_Tech,Pall_Corporation,Ruby_Hospital,safe
12,Phase3,Msrtc_Busstop,Ashwini_Hospital,Joshi_wadewale,Jaymalhar_Hotel,Ruby_Hospital,unsafe
13,Kaspate_Chowk,Vishal_Nagar,Military_Station,Distric_Hospital,Westend_Mall,Aundh,unsafe
14,Kaspate_Chowk,Akash_Towers,Pimple_Nilakh,Adarsh_Nagar,Hotel_Haveli,Aundh,safe
15,Aundh,Westend_Mall,Distric_Hospital,Military_Station,Vishal_Nagar,Kaspate_Chowk,unsafe
16,Aundh,Hotel_Haveli,Adarsh_Nagar,Pimple_Nilakh,Akash_Towers,Kaspate_Chowk,safe
17,Ambegaon_Bk,Katraj_Post_Office,Sai_Nagar,Ram_Mandir,Sun_City,Narhe,safe
18,Ambegaon_Bk,Jay_Bhavani_Chowk,Hotel_Purandar,Jambhulwadi_Lake,Engineers_Chai,Narhe,unsafe
19,Narhe,Engineers_Chai,Jambhulwadi_Lake,Hotel_Purandar,Jay_Bhavani_Chowk,Ambegaon_Bk,unsafe
20,Narhe,Sun_City,Ram_Mandir,Sai_Nagar,Katraj_Post_Office,Ambegaon_Bk,safe
21,Katraj,Ahilya_Devi_Chowk,City_Pride,Swargate_Bus_Depot,Dagdusheth_Mandir,Shaniwarda_Wada,safe
22,Katraj,Rajiv_Gandhi_Nagar,Aai_Mata_Chowk,Gultekdi_Chowk,Ganesh_Road,Shaniwarda_Wada,unsafe
23,Shaniwarda_Wada,Dagdusheth_Mandir,Swargate_Bus_Depot,City_Pride,Ahilya_Devi_Chowk,Katraj,safe
24,Shaniwarda_Wada,Ganesh_Road,Gultekdi_Chowk,Aai_Mata_Chowk,Rajiv_Gandhi_Nagar,Katraj,unsafe
25,Bavdhan,Chandani_Chowk,Kothrud,Erandwane,Deccan_Corner,FC_Road,safe
26,Bavdhan,Nobel_Hospital,DRDO_Office,Marido_Colony,Bahiratwadi,FC_Road,unsafe
27,FC_Road,Deccan_Corner,Erandwane,Kothrud,Chandani_Chowk,Bavdhan,safe
28,FC_Road,Bahiratwadi,Marido_Colony,DRDO_Office,Nobel_Hospital,Bavdhan,unsafe
29,Lohegaon,Pune_Airport,Jailroad_policestation,westin_busstop,Jahangir_nagar,Hadapsar,safe
30,Lohegaon,Vitthal_nagar,Kharadigaon,Mundhwa,Amanora_mall,Hadapsar,unsafe
31,Hadapsar,Jahangir_nagar,Westin_busstop,Jailroad_policestation,Pune_Airport,Lohegaon,safe
32,Hadapsar,Amnora_mall,Mundhwa,Kharadigaon,Vitthalnagar,Lohegaon,unsafe
33,Dhanori,Lohegaon,Dattamandir,Lifeline_hospital,Lonikand_policestation,Lonikand,safe
34,Dhanori,pragati_Garden,Kharadi_bypass_policestation,Jeevan_rakshak_hospital,vitthalwadi,Lonikand,safe
35,Lonikand,Lonikand_policestation,Lifeline_hospital,Dattamandir,Lohegaon,Dhanori,safe
36,Lonikand,vitthalwadi,Jeevan_rakshak_hospital,Kharadi_bypass_policestation,pragati_Garden,Dhanori,safe
37,alandi,kale_colony,Rahane_hospital,Dighi_PoliceStation,yerawada,koregaon_park,safe
38,alandi,bhosari,Dapodi,Khadaki,Rajiv_gandhi_hospital,koregaon_park,unsafe
39,koregaon_park,yerawada,Dighi_PoliceStation,Rahane_hospital,kale_colony,alandi,safe
40,koregaon_park,Rajiv_gandhi_hospital,Khadaki,Dapodi,bhosari,alandi,unsafe
41,Saswad,Dive,Fursungi,Malwadi,Aple_ghar,Wagholi,safe
42,Saswad,hiware,Bhivari,Pune_contonment,ramtekadi,Wagholi,unsafe
43,Wagholi,Aple_ghar,Malwadi,Fursungi,Dive,Saswad,safe
44,Wagholi,ramtekadi,Pune_contonment,Bhivari,hiware,Saswad,unsafe
45,Kalbor_Nagar,Star_Bazar,Akurdi_Chowk,Hanuman_Chowk,Mahlsakant_Chowk,Nigdi1,safe
46,Kalbor_Nagar,Vi_Mini_Store,Nigdi1_Flyover,Dyaneshwar_Chowk,Tukaram_Gardern,Nigdi1,unsafe
47,Nigdi1,Milk_Made,Ganga_Nagar,Jijanagar,Chikli_Road,Kalbor_Nagar,unsafe
48,Appu_Ghar,Bhakti_Shakti_Gardern,Durga_Tekdi,Radha_Krishna_Mandir,Chincholi_Road,Dehuroad,safe
49,Dehuroad,Chincholi,Pandharpur_Road,Datta_Mandir,Ulhas_Hotel,Mamurdi,safe
50,Dehuroad,Garrison_Engineer,Dehuroad_Police_Station,KM_Park,Bhairavnath_Mandir,Mamurdi,unsafe
51,Akurdi_Chowk,Force_Motor_Limited,Thermax_Chowk,Plantech_Consultants,Tata_Motors_Pimpri,Ksb_Chowk,safe
52,Akurdi_Chowk,Seasons_Banquets,DTDC_Courier,Finolex_Pipes,Mahalaxmi_Madir,Ksb_Chowk,safe
